goodreads_book_id,tag_id,tag_name
11918,23796,pnr
14383,23796,pnr
14384,23796,pnr
28866,23796,pnr
35729,23796,pnr
38619,23796,pnr
41865,23796,pnr
42898,23796,pnr
42899,23796,pnr
42900,23796,pnr
49041,23796,pnr
71811,23796,pnr
84136,23796,pnr
84139,23796,pnr
84140,23796,pnr
84142,23796,pnr
84144,23796,pnr
84145,23796,pnr
84151,23796,pnr
110494,23796,pnr
112750,23796,pnr
140077,23796,pnr
178476,23796,pnr
215643,23796,pnr
235718,23796,pnr
301082,23796,pnr
304027,23796,pnr
341027,23796,pnr
344262,23796,pnr
428263,23796,pnr
435045,23796,pnr
458034,23796,pnr
476543,23796,pnr
704043,23796,pnr
715791,23796,pnr
1240662,23796,pnr
1388813,23796,pnr
1421990,23796,pnr
1611656,23796,pnr
1830755,23796,pnr
1928873,23796,pnr
2003625,23796,pnr
2168860,23796,pnr
2299110,23796,pnr
2355575,23796,pnr
2498983,23796,pnr
2679633,23796,pnr
2702704,23796,pnr
2712967,23796,pnr
3115070,23796,pnr
3295695,23796,pnr
3570231,23796,pnr
3585344,23796,pnr
3819326,23796,pnr
4497978,23796,pnr
4701550,23796,pnr
5098079,23796,pnr
5153799,23796,pnr
5509920,23796,pnr
5604848,23796,pnr
5628753,23796,pnr
6050298,23796,pnr
6289920,23796,pnr
6294553,23796,pnr
6329547,23796,pnr
6337006,23796,pnr
6388558,23796,pnr
6547187,23796,pnr
6582637,23796,pnr
6660747,23796,pnr
6758331,23796,pnr
6871617,23796,pnr
6944032,23796,pnr
7039218,23796,pnr
7046495,23796,pnr
7098304,23796,pnr
7304203,23796,pnr
7307503,23796,pnr
7519472,23796,pnr
7715664,23796,pnr
7831145,23796,pnr
7954556,23796,pnr
8158992,23796,pnr
8492319,23796,pnr
8534799,23796,pnr
8788554,23796,pnr
8843801,23796,pnr
9637479,23796,pnr
10790516,23796,pnr
10993282,23796,pnr
12578077,23796,pnr
12900491,23796,pnr
12988016,23796,pnr
13125234,23796,pnr
13522957,23796,pnr
13570854,23796,pnr
18108281,23796,pnr
1633,24401,productivity
36072,24401,productivity
95708,24401,productivity
95887,24401,productivity
181206,24401,productivity
368593,24401,productivity
6732019,24401,productivity
18077875,24401,productivity
22318578,24401,productivity
320,30672,to-read-fiction
865,30672,to-read-fiction
2187,30672,to-read-fiction
4214,30672,to-read-fiction
4406,30672,to-read-fiction
4934,30672,to-read-fiction
4981,30672,to-read-fiction
5129,30672,to-read-fiction
6334,30672,to-read-fiction
6759,30672,to-read-fiction
7604,30672,to-read-fiction
29044,30672,to-read-fiction
38447,30672,to-read-fiction
49628,30672,to-read-fiction
77203,30672,to-read-fiction
168668,30672,to-read-fiction
15823480,30672,to-read-fiction
17333223,30672,to-read-fiction
18143977,30672,to-read-fiction
20170404,30672,to-read-fiction
2998,6866,children-books
4948,6866,children-books
6319,6866,children-books
6327,6866,children-books
6689,6866,children-books
7770,6866,children-books
7784,6866,children-books
19302,6866,children-books
19543,6866,children-books
23772,6866,children-books
24178,6866,children-books
30119,6866,children-books
32929,6866,children-books
39988,6866,children-books
99107,6866,children-books
100915,6866,children-books
113946,6866,children-books
157993,6866,children-books
191139,6866,children-books
197084,6866,children-books
231850,6866,children-books
233093,6866,children-books
310259,6866,children-books
370493,6866,children-books
759611,6866,children-books
767680,6866,children-books
