goodreads_book_id,tag_id,tag_name
6900,18130,life
14384,2136,alpha-male
35729,2136,alpha-male
42899,2136,alpha-male
42900,2136,alpha-male
6538757,2136,alpha-male
7405450,2136,alpha-male
9637479,2136,alpha-male
9799572,2136,alpha-male
10140661,2136,alpha-male
10813469,2136,alpha-male
10813480,2136,alpha-male
10818853,2136,alpha-male
11227040,2136,alpha-male
11227041,2136,alpha-male
11227043,2136,alpha-male
11381643,2136,alpha-male
11505797,2136,alpha-male
11665750,2136,alpha-male
12299419,2136,alpha-male
12368985,2136,alpha-male
12390650,2136,alpha-male
12458287,2136,alpha-male
12513614,2136,alpha-male
12881141,2136,alpha-male
12958487,2136,alpha-male
13065142,2136,alpha-male
13184992,2136,alpha-male
13412515,2136,alpha-male
13448656,2136,alpha-male
13522957,2136,alpha-male
13536860,2136,alpha-male
13565914,2136,alpha-male
13572249,2136,alpha-male
13596809,2136,alpha-male
13640229,2136,alpha-male
15724654,2136,alpha-male
15745950,2136,alpha-male
15752757,2136,alpha-male
15760001,2136,alpha-male
15799166,2136,alpha-male
15852756,2136,alpha-male
16001443,2136,alpha-male
16070903,2136,alpha-male
16102004,2136,alpha-male
16109563,2136,alpha-male
16114861,2136,alpha-male
16134782,2136,alpha-male
16136959,2136,alpha-male
16139641,2136,alpha-male
16140036,2136,alpha-male
16163690,2136,alpha-male
17029526,2136,alpha-male
17167042,2136,alpha-male
17200687,2136,alpha-male
17255265,2136,alpha-male
17257990,2136,alpha-male
17257993,2136,alpha-male
17375956,2136,alpha-male
17377032,2136,alpha-male
17617277,2136,alpha-male
17792606,2136,alpha-male
17798287,2136,alpha-male
17828418,2136,alpha-male
17830559,2136,alpha-male
17876893,2136,alpha-male
17880708,2136,alpha-male
17880714,2136,alpha-male
18076876,2136,alpha-male
18105011,2136,alpha-male
18134894,2136,alpha-male
18149927,2136,alpha-male
18221931,2136,alpha-male
18297707,2136,alpha-male
18340482,2136,alpha-male
18341046,2136,alpha-male
18468559,2136,alpha-male
18693621,2136,alpha-male
18739485,2136,alpha-male
18781540,2136,alpha-male
18781543,2136,alpha-male
20603820,2136,alpha-male
20613920,2136,alpha-male
20761374,2136,alpha-male
20803953,2136,alpha-male
20980373,2136,alpha-male
21518647,2136,alpha-male
21518679,2136,alpha-male
21956060,2136,alpha-male
22020052,2136,alpha-male
23341855,2136,alpha-male
23355069,2136,alpha-male
23357188,2136,alpha-male
24920901,2136,alpha-male
25644601,2136,alpha-male
25711641,2136,alpha-male
28477789,2136,alpha-male
1617,32812,world-war-ii
4981,32812,world-war-ii
6867,32812,world-war-ii
10058,32812,world-war-ii
15196,32812,world-war-ii
19063,32812,world-war-ii
27323,32812,world-war-ii
39999,32812,world-war-ii
42389,32812,world-war-ii
43944,32812,world-war-ii
47281,32812,world-war-ii
48855,32812,world-war-ii
49250,32812,world-war-ii
49251,32812,world-war-ii
49465,32812,world-war-ii
94799,32812,world-war-ii
101299,32812,world-war-ii
161156,32812,world-war-ii
168668,32812,world-war-ii
375013,32812,world-war-ii
541920,32812,world-war-ii
542389,32812,world-war-ii
556602,32812,world-war-ii
561909,32812,world-war-ii
767171,32812,world-war-ii
771332,32812,world-war-ii
1128178,32812,world-war-ii
1971304,32812,world-war-ii
2728527,32812,world-war-ii
3367956,32812,world-war-ii
6514074,32812,world-war-ii
7824322,32812,world-war-ii
8664353,32812,world-war-ii
9729504,32812,world-war-ii
11925514,32812,world-war-ii
18143977,32812,world-war-ii
21853621,32812,world-war-ii
25614492,32812,world-war-ii
25893693,32812,world-war-ii
9460487,829,2016-reading-challenge
11235712,829,2016-reading-challenge
13206900,829,2016-reading-challenge
16101128,829,2016-reading-challenge
17851885,829,2016-reading-challenge
17878931,829,2016-reading-challenge
18007564,829,2016-reading-challenge
18143977,829,2016-reading-challenge
20910157,829,2016-reading-challenge
21853621,829,2016-reading-challenge
22557272,829,2016-reading-challenge
29056083,829,2016-reading-challenge
3591262,11247,family-saga
1,32654,wizards
2,32654,wizards
3,32654,wizards
5,32654,wizards
6,32654,wizards
15881,32654,wizards
17683,32654,wizards
47212,32654,wizards
91474,32654,wizards
91476,32654,wizards
91477,32654,wizards
91478,32654,wizards
91479,32654,wizards
136251,32654,wizards
927979,32654,wizards
3475161,32654,wizards
22205,33004,ya-contemporary
22628,33004,ya-contemporary
49750,33004,ya-contemporary
51737,33004,ya-contemporary
51738,33004,ya-contemporary
99561,33004,ya-contemporary
439288,33004,ya-contemporary
1162022,33004,ya-contemporary
1217100,33004,ya-contemporary
1295102,33004,ya-contemporary
4268157,33004,ya-contemporary
4374400,33004,ya-contemporary
5821978,33004,ya-contemporary
6442769,33004,ya-contemporary
6482837,33004,ya-contemporary
6567017,33004,ya-contemporary
6604794,33004,ya-contemporary
6931356,33004,ya-contemporary
6936382,33004,ya-contemporary
7664334,33004,ya-contemporary
8492825,33004,ya-contemporary
9627755,33004,ya-contemporary
9961796,33004,ya-contemporary
10194514,33004,ya-contemporary
10798416,33004,ya-contemporary
11870085,33004,ya-contemporary
12000020,33004,ya-contemporary
12294652,33004,ya-contemporary
12700353,33004,ya-contemporary
15283043,33004,ya-contemporary
15745753,33004,ya-contemporary
15777621,33004,ya-contemporary
15790873,33004,ya-contemporary
16068905,33004,ya-contemporary
17623975,33004,ya-contemporary
17838528,33004,ya-contemporary
18189606,33004,ya-contemporary
18460392,33004,ya-contemporary
18660447,33004,ya-contemporary
18692431,33004,ya-contemporary
19547856,33004,ya-contemporary
20698530,33004,ya-contemporary
20820994,33004,ya-contemporary
32075671,33004,ya-contemporary
472331,7743,comic-book
21,14552,history
24,14552,history
29,14552,history
343,14552,history
424,14552,history
475,14552,history
656,14552,history
706,14552,history
816,14552,history
823,14552,history
880,14552,history
930,14552,history
960,14552,history
968,14552,history
1067,14552,history
1097,14552,history
1103,14552,history
1171,14552,history
1232,14552,history
1295,14552,history
1303,14552,history
1305,14552,history
1362,14552,history
1371,14552,history
1381,14552,history
1617,14552,history
1624,14552,history
1824,14552,history
1842,14552,history
1845,14552,history
1848,14552,history
1885,14552,history
1898,14552,history
1911,14552,history
1934,14552,history
1953,14552,history
2159,14552,history
2199,14552,history
2203,14552,history
2279,14552,history
2368,14552,history
2371,14552,history
2372,14552,history
2657,14552,history
2696,14552,history
2715,14552,history
2767,14552,history
2865,14552,history
2956,14552,history
3109,14552,history
3110,14552,history
3559,14552,history
3869,14552,history
3872,14552,history
3873,14552,history
3985,14552,history
4069,14552,history
4339,14552,history
4373,14552,history
4395,14552,history
4806,14552,history
4813,14552,history
4820,14552,history
4900,14552,history
4952,14552,history
4965,14552,history
4981,14552,history
4989,14552,history
5043,14552,history
5064,14552,history
5364,14552,history
5544,14552,history
6149,14552,history
6440,14552,history
6462,14552,history
6538,14552,history
6867,14552,history
7126,14552,history
7190,14552,history
7244,14552,history
7442,14552,history
7493,14552,history
7613,14552,history
7669,14552,history
7748,14552,history
7882,14552,history
8248,14552,history
8252,14552,history
8253,14552,history
8282,14552,history
8337,14552,history
8914,14552,history
9013,14552,history
9516,14552,history
9517,14552,history
9530,14552,history
9646,14552,history
9742,14552,history
9791,14552,history
10058,14552,history
10104,14552,history
10108,14552,history
10210,14552,history
10505,14552,history
10541,14552,history
10692,14552,history
10799,14552,history
10836,14552,history
10847,14552,history
10882,14552,history
10883,14552,history
10884,14552,history
10920,14552,history
10964,14552,history
10965,14552,history
10967,14552,history
10987,14552,history
10988,14552,history
11366,14552,history
11472,14552,history
12296,14552,history
12358,14552,history
12617,14552,history
12651,14552,history
12657,14552,history
12658,14552,history
12786,14552,history
12914,14552,history
13006,14552,history
13839,14552,history
14201,14552,history
14595,14552,history
15196,14552,history
15197,14552,history
16130,14552,history
16180,14552,history
16181,14552,history
16213,14552,history
